id,lfc,qval,sig,genus
ebf9457dae6bd1ff13970e6338f7066f,8.250767733174783,2.2393500876941817e-106,True,Unknown
b780f6c84a7f72f2516d2e2f731e821e,7.961026951675741,1.4575632854328298e-92,True,Unknown
5f3a5396b5a35ee2572fb21818e7456c,7.849914433772584,1.3342765904987498e-84,True,Puia
f2ce9ee5f37728b4075a8b14ac960d84,7.791447652407221,3.113514301873844e-164,True,Sphingomonas
b0c292093dd9eb8a4f4ce74e9d54fbb1,7.697771196456541,1.3349763335692792e-110,True,Unknown
6a3f4b757a203f2bf5b7fdc6fe6bce0e,7.515317829945177,9.623961014440326e-107,True,Ralstonia
adae2ba50d518664e322fdf3024873f9,7.46807532587351,2.549966569884581e-104,True,Sphingomonas
2c7db4e1fde2d1074dcd03c27c5cae10,7.467931406978611,3.087065720838987e-108,True,Bradyrhizobium
d8e158ff0c7ab38a6754f6e9c792d2c5,7.466685306988978,1.7458934518882021e-96,True,Mesorhizobium
e199552fa615f7327512b29f3831376e,7.44767359847758,5.36655779208051e-113,True,Methylobacterium-Methylorubrum
85f2af2901bbc5c60212c8347d7b4c74,7.277169186789509,1.007598180472597e-92,True,Unknown
734d33f80d08c473bc2881e92cf3a4de,7.097374538714435,3.481477642176364e-105,True,Burkholderia-Caballeronia-Paraburkholderia
a7850218a0369c60fdcb596b4f58fa41,6.994441856788116,1.3811762342458848e-92,True,Novosphingobium
4d73baf8ed94be9078ed3a9ac6b59cd6,6.933718018913062,3.0442028960445306e-87,True,Unknown
bacb75b6f29c5217f6de1d73c8e012a4,6.927314421940633,8.919896722951411e-109,True,Cupriavidus
0c311e7c1092ebd3d9d2d1946b5cb6a5,6.893110393083756,4.2783287845606895e-86,True,Sphingomonas
27596b88775410c60cdab084bf731bea,6.787526602192006,5.199615107666601e-53,True,Pseudomonas
d1bea44013fc59819dbccce6c7453e38,6.781607580221387,3.9589172675164514e-99,True,Unknown
def6d36118f19add209440ea4ac01ef2,6.491497515215997,6.151822795990358e-88,True,Terriglobus
e54c4713738e375b2ddffab1f0eea0ee,6.487990655523953,1.2291080176691132e-86,True,Unknown
f151910e610ab88b21756e1ec135ea99,6.464979706613715,6.194787023260301e-104,True,Candidatus_Babela
8ad8aeee3fbf853d3c39365cce52131a,6.459108708039393,1.4487031606855485e-82,True,Unknown
c437f9644da990787db25d3a34809b63,6.313621817781566,1.2569944294272416e-79,True,Cellulomonas
380858dfcecb67002f62d3bc72c61f52,6.257970311592196,1.260886221962138e-102,True,Pseudolabrys
d291bc6fad19faede2bffebefd64321f,6.1541313363019166,5.0676881718140525e-80,True,Unknown
277853d5d3802ae1e98aaa02a3fb056b,6.151138782263856,8.335011990335404e-73,True,Unknown
1055140172beef44dc48e43b98eaef32,6.048110990053587,5.0548570007743255e-64,True,Bradyrhizobium
cf6ab24511055d79b567cbf7d02d2676,5.969829715249006,1.0740053686714332e-85,True,Reyranella
af784d2c36d9351deec4710e9006cbf2,5.832472488144303,3.979736505076135e-85,True,Bosea
0a5a582ac168d9d1394339182d95fead,5.831953625781345,1.2879338647435993e-62,True,Unknown
115206eae50236c131f7367ef9208c89,5.732176842641073,1.17077822270031e-63,True,env.OPS_17
cf42aa9293b4b779ba2336a6d85446db,5.693884166283504,1.9144768314000456e-94,True,Procabacter
99c3b3f89d81b9fcd8afc99b5159fe70,5.62162423504962,6.21547111185913e-88,True,uncultured
7409fbba5cce0cf4385d9581c876f208,5.588148181060562,1.1260471515448708e-69,True,Meiothermus
09300d62afcb19f910214d86fdb2d648,5.555048542280604,2.518247287827726e-77,True,Mucilaginibacter
d7eb003d5e1de847fcb9a9c024ddeb59,5.554791679739218,1.0918511340909487e-77,True,Hyphomicrobium
e3c7c268dc984bf1980bb7a2d03495b9,5.484315084419452,8.990045393040567e-74,True,Spirosoma
42cc62bd4aed58d9795571ee45b7fa8d,5.472216737770372,4.383670296363514e-68,True,Unknown
968545164275c8f8fc67f7619cdef215,5.45520415067803,7.0694795964215924e-74,True,Unknown
b49c0c909b345c10722c40b2abe8e56d,5.398661246179618,8.628227087433838e-59,True,Burkholderia-Caballeronia-Paraburkholderia
9e8b65a6446ae9639bd5b792eaaf0216,5.379227745484566,4.443280010480556e-94,True,28-YEA-48
e65acd9961aca0242f6a9b9e9f23a133,5.2660444472753465,1.5701067329122258e-63,True,Acidibacter
e5f2abb39e0e47bcefcf524380e29e8c,5.209823449399632,1.1644656910510435e-62,True,Acinetobacter
754f30148e20d5a69ade0a5e7167a657,5.133137685483865,3.085283952700403e-78,True,Cupriavidus
c4cca7793f5269faf9a5ba4636142226,5.05715386657619,3.0403783771725893e-77,True,Unknown
095301cfc41502573b3362ab19621710,4.968499685161296,4.3208421383601674e-92,True,Phreatobacter
6534f1895d7c8ac6ea6f3ae3d94a7e7d,4.872457492764632,2.255438994868181e-71,True,Unknown
0217c9ac7df3c193e9ab984d0d877add,4.844032960475181,8.327425300005228e-59,True,Cupriavidus
86d632acdacfe0c89018ab6e91501ba0,4.83568956766816,1.1910884773492385e-87,True,Caulobacter
057493388aad033f7bea8b5345daa32c,4.829041430691568,2.476357579236119e-50,True,Mycobacterium
94b93b26a645bafe8d8027198337dac8,4.81161375003518,5.904819570869328e-56,True,Unknown
669a300d7fc22fbff82bb43fd2e1bbfe,4.760236647280259,1.0062783910990552e-79,True,Unknown
1651c125bf4dd20b95d2b7b1cdb9af02,4.72468031836418,1.9854360628395314e-79,True,Unknown
3adb4b18a5923e23e28cec70c3dab780,4.722155667845023,3.744369637300746e-56,True,Unknown
dc8c61de69ca18e560ab24b886270cfb,4.675504220230081,5.953200014907077e-72,True,Singulisphaera
dce49a82f0f59932f31db9e1b447a076,4.608403325917767,7.47608484163601e-61,True,Nevskia
fbc5489cb1872cf1bca05749eeeb6cca,4.565986992304039,3.67778171684676e-49,True,Sphingomonas
fbe33ee7a502b038dc5a09fcdff3b3bb,4.486672245090894,1.034305217891207e-56,True,Mycobacterium
7367f07b9a6b36180b91b6f618eeba51,4.459971077167401,1.99601572961026e-80,True,uncultured
e117be44b57305bf0c00b3c939785a93,4.427138377719669,7.886480159998458e-43,True,Paenibacillus
546e0eec8a6b42db676adfd496edf6b1,4.409616273168927,1.0246536478003976e-59,True,Jatrophihabitans
61e7f728ac1374f0b6e318d2e13ca951,4.404403494436556,4.12127677718917e-60,True,Aquabacterium
706adb25c0695e839b625a1d45611517,4.393945249592675,2.0619918142115198e-63,True,uncultured
b2d3312c902275814d5996be81c57daa,4.296020567279529,4.746167305698218e-60,True,Unknown
6545aec3cb48485619bcbfa687a4fd16,4.276133072936783,9.88638165931197e-66,True,Reyranella
e42dd2db0e02be1e09610842109cbe7b,4.219593090120966,2.264076101620996e-60,True,Unknown
09e59077927d146fdcc63eacab1fa8bd,4.2145024387783545,5.8099122326128174e-52,True,Cupriavidus
95aeb5e29d2c6441f1dc4978875c8408,4.210404850150983,1.6496706533030985e-55,True,Staphylococcus
8a35bb8dcf943dd9e4876f57fc1f7ad6,4.147264841518115,6.033764956173248e-57,True,Unknown
b5583990f80781c6c68816df06921caf,4.139073837767423,9.215732798942263e-58,True,Meiothermus
107213e1d2e48bf90afe02a6238d12a6,4.125788590960788,8.897522692099472e-49,True,Cohnella
14959b0c82851121a969ac3750fd9828,4.093651306547034,2.0619918142115198e-63,True,Unknown
9bc666bb3b12dc27ffd10641387dc3df,4.042233423713508,5.699036858701146e-66,True,Unknown
50b5e963db6a4f935276ea90d35e6a53,3.981047780500908,1.7921184206923553e-48,True,Methylobacterium-Methylorubrum
5f6ab2a6248c9eeef40fef504d85531b,3.840752230906293,2.1485563148785245e-63,True,Reyranella
599a2098db5ea70a071ea3314ddc4d79,3.829663715152016,9.092154145233244e-42,True,Reyranella
18c1b8d6cf6317835aa4c339e6b01af2,3.8020642094122192,2.0507334946667864e-58,True,Unknown
f193c85f08779f7e14222f341993ff26,3.7838426152408,1.0078888336555757e-56,True,Puia
e21402de453e2093842b3e3ae338e0a8,3.7741564034336808,1.5704668145919168e-41,True,Unknown
125beb66abc202ce6f32de736a04d405,3.772708012956405,9.685206330900609e-57,True,Obscuribacteraceae
2e93de08bcb1ae0e98d9cc33e63d4455,3.7540723026520704,1.782952660294602e-54,True,Asinibacterium
4c45bcd37a9a7eccf07fec9f61ead519,3.7345475183285215,4.780723186833316e-78,True,Corynebacterium
f2fb159be5313d2ef8d1776838952dca,3.70812738071442,1.3001249955064476e-62,True,Lineage_IV
77f1a2de76161255c085b51b3054de99,3.6776451440235824,1.1409468646361491e-60,True,uncultured
c969ade13c832ba5e691ed356161b51f,3.615091643038647,6.974135951622022e-45,True,Unknown
0096ed2b4fbf0e7e52737d701311029c,3.586175542785003,9.12326204434794e-57,True,Unknown
512fdc31c09967db17a2ea02c84c5b9e,3.5839873021574906,2.917363227809408e-67,True,Heliimonas
757fda1db4e03d58fbcb22ba1591d51c,3.5796172328630047,1.7098622247617263e-53,True,Bosea
96c31672b28a64fe0f71a2804a03cf2c,3.5771421314786847,4.268811752739973e-35,True,Massilia
c8ac8365c41f38e03f0bf3f6dea2fd48,3.543760107597477,2.1073052334299306e-61,True,Unknown
edc1ff93ae4019284653a47523a23bee,3.499823322377349,5.500349717608643e-48,True,Ralstonia
ce8cc6c6a73ef6d2e459eab33c97d318,3.483307992422869,2.779822762242491e-56,True,Unknown
3535810e010eb888bff1b8f3836ea92e,3.4723224578519165,2.1257993604437004e-66,True,Lawsonella
986b21a48f4a80c900d28150e74f7f0f,3.4605217164596542,4.0598221855718116e-61,True,Bryobacter
2d35daa1260e78d049acac50cf275f2f,3.356470672007773,1.919879834302875e-52,True,Paenibacillus
d85334c42105a45b58a7de2efa4d5931,3.351175301025969,7.566578128813344e-62,True,Unknown
06e916fdd73039e8f25ec3c9d6323dc1,3.3462756010237897,2.299849160691527e-50,True,Sediminibacterium
a465cb75b5cba57b29d357b578f13cad,3.345204251861312,3.3948697003859166e-62,True,Unknown
3d8b588a1c3e0b70d718bc1a1b9ef164,3.3356124112973022,1.909092201332738e-63,True,Gemmata
601b02023c3b76293407b72f10d0adb2,3.239254913354255,1.2256713292978108e-76,True,Reyranella
fbf8a15f7b78c1542c9a1c6077111f01,3.200107752550818,2.559058854619413e-65,True,uncultured
7e87896f91e52cfebbbbd9427ae4fffb,3.2000481555282203,1.478528231773723e-65,True,Unknown
72f8cbc608853f73cbab5b85381e4169,3.192602263058789,7.517972772193679e-48,True,Nocardioides
9f99138e33e409e5bc5ab3939fc748b3,3.1849015466865107,2.6526428678400103e-64,True,Pajaroellobacter
0285af783be2af1033f7780f0bcc551f,3.184167664406933,3.1283185705478413e-47,True,Sphingomonas
94f699db9d2b5fca5aae2a724ec4acf8,3.156307618852212,3.177476998667881e-61,True,Obscuribacteraceae
4da3f5984708a7270f5601629d5169cb,3.154591995482661,3.3456736409397717e-68,True,uncultured
3bd462e724cead4885ab0721df2e0a38,3.143138783451754,1.869480247609921e-40,True,Sphingomonas
4d0876150921fb01f333cb8998e5ac23,3.132938999338574,1.058026088361084e-65,True,Unknown
1cdb1057d1c5e7f0fb50ca9a8cc35510,3.1150504304659306,7.146543341056e-41,True,Bacillus
cdf98e6f5275cc9219f2f330163f4878,3.114441959985341,1.3159310546276112e-41,True,Legionella
48692fa0de4376e28469b3309ef24b49,3.11318440256754,7.471182170299145e-42,True,Methylobacterium-Methylorubrum
d0e537002e3f56ec393da6cbaa891aac,3.0949874596995977,3.071403269606037e-39,True,Devosia
2a50094bdd81264a0efb9160568d156a,3.055420730654207,4.7120455662084815e-46,True,Unknown
52de85e35a36efb64a51f6088d2aa923,3.052055798953053,2.1244705734496843e-61,True,Bryobacter
866e0f6ae81531d11d12893e0fa46c12,3.0403635377118143,8.351692368322218e-61,True,WPS-2
727e7762328f26995b073d19b4f14eed,2.9991078533863886,7.223147514033831e-58,True,Unknown
4975050d9085965411d6c7a70800d5b5,2.9987948282961097,2.282082683934981e-47,True,Micrococcus
8657252b1f2c168947ea323818675ab3,2.993456236671728,2.7223978379068908e-39,True,Sphingomonas
be16a993742c300d5903836e2cca2dc6,2.98568446936505,4.558967392570341e-37,True,Sporichthya
cdda6de9a96e17aebf1ef5e2ac23f19b,2.9818433168728964,3.0198170414910864e-50,True,Unknown
7b9b5d519c10c822d5a4bf4b431cd733,2.947856815847648,3.074137153124359e-59,True,Novosphingobium
1ce0224b1dce165d6d8b4695c842f672,2.937319544722851,3.189959662957173e-73,True,uncultured
b9be4c52adadecaabce43c8fae297a92,2.904497762947741,1.3785560522942278e-63,True,Ferruginibacter
1db6c6b85fab4348b50d2a8295aab847,2.901343919684251,6.26656962899555e-43,True,Brevibacillus
8f97db3237ea6feb043ce163e157fee5,2.892085044878155,1.0841749037186664e-54,True,Corynebacterium
fc27b1f21636edef56c8520d9fba91ad,2.860352125946965,1.8243057050174182e-55,True,Reyranella
a771edcede68d3670fd37163276d1fce,2.850852217593695,1.244360682573556e-39,True,Novosphingobium
d6a9f33e97ad8fb5929a79381d309a32,2.8453454489589607,2.989888346239845e-53,True,Acinetobacter
6949194cb63d69858d2fc19aa25bc0e9,2.8361716684370584,6.911500998473251e-48,True,Unknown
20c062404763f72307aac639ec3b4f10,2.813730926154137,1.6796443733050088e-49,True,Pseudomonas
a67f1ee94822fd98f0025c50622b3167,2.8049938792766262,2.060787172629544e-56,True,Candidatus_Obscuribacter
854e02251a55b2ec852a983775ee4316,2.7939651843610327,6.692575981115379e-64,True,Phenylobacterium
64dbebb9b346fcba08d3db28f95f71a3,2.79062756696128,7.304269849058819e-66,True,Unknown
5617501c36ce9cb244be71a7fa053efa,2.774709479752879,9.976346023923974e-43,True,Unknown
a17b3edc15977d3bb7272e9e8f88fc6b,2.7703067419886374,2.533416603176965e-67,True,Unknown
a447727747be5c961d2e2e13dfa176be,2.759406260336944,2.5510368935685543e-60,True,Hydrotalea
806c9dfbe2025081bb369e196caa9ced,2.7583665445654866,1.881713586787301e-61,True,Puia
94edc8c1b2c09c42d5f82b34b9bf5b34,2.755398484651505,8.796811908930053e-72,True,Unknown
a36ee3f8e3d09ae2ce5d5615037b5e11,2.7503505517565605,1.716769060574703e-64,True,Streptococcus
0f9f5279b98402f017ba0e175506491d,2.748035400252195,4.966770180409562e-62,True,DSSD61
264ce953214318f1b87e9109ee49450b,2.732553160899589,2.505913474952251e-60,True,Bryobacter
b9dba76b000a80801222a8ed7f09af53,2.7298531364107603,1.6289208149519368e-54,True,Unknown
f59f8a46ad644c3a3202030f8395d076,2.670497852028407,2.235665505060061e-73,True,Unknown
c55042b9ea34d370390eb8ec620af922,2.6412950373475974,6.578878785372948e-50,True,Cloacibacterium
a490e734842706de72477711b3279702,2.6390105407250912,5.110906073075548e-61,True,Unknown
a41ec8a4c3cfa7b509cf848b9a98cffa,2.638255968835004,3.5880453771568893e-59,True,67-14
87a90c077e93c795226282df826c5c08,2.632325293426462,4.300275671718161e-48,True,Pseudomonas
1442a26a9b0b1123203e9b89fa383c6e,2.6290647575726167,4.3155759081034857e-72,True,Unknown
16c890471408a447af6b060fbb282323,2.6208602228309417,8.377567254423036e-55,True,Sediminibacterium
3ee1040b89b867aa4bb8a53fb7be4b1a,2.61885779403182,4.580170459367317e-65,True,Paludibaculum
5e43daea8be173998427a603363dd628,2.616273087279037,6.430948076124405e-58,True,Pseudomonas
3fe174710c9e323d862d57f39444f83c,2.610448603941433,1.2803620480662335e-55,True,Enhydrobacter
abd65b88a2a062598c79b582ff5e4a81,2.6082307768425443,3.2556516451786714e-60,True,Methylobacterium-Methylorubrum
e94883966fa8ffda796625744f28e766,2.5468170162649693,1.7955153130884808e-63,True,Cutibacterium
e12425a433191d8896deccf50c0b2690,2.528776559695604,7.056836800039699e-62,True,Thermus
78031a1de4cccc425fd134e0fba02817,2.5120559809766485,5.901671560086884e-65,True,Unknown
c233c87b7af084906a3b82f23c1badf4,0.7409524766546265,0.0375249134223248,True,OM190
3bbd28f4b66484f73de0049ca2eb03eb,0.7204405573115851,8.438720393011614e-06,True,RBG-13-54-9
77284a8c25bb829476ab8d95a17539d3,0.7184194615866393,0.0042577242453431,True,Subgroup_22
06af3ab367dfc87c22e1fbadbadbe0e2,-0.5353128352400014,0.0038643912095281,True,WD2101_soil_group
107f51defb7d900877566daa7f6a7ac2,-0.553663790837529,7.301804452595397e-05,True,Haliangium
a1021257624c1d2ae53d1c9879c83d05,-0.6039989116055362,0.0273559008804963,True,C0119
7c08906db5f1f53e6ab2395cefacf9f1,-0.6316276418272762,0.0093301924285624,True,Unknown
c5eb91fb060deeae38db11034307461b,-0.6499742085881346,0.0110323553298665,True,Unknown
cecde78e659dd393e7c2772976e89744,-0.6554000871947734,0.0454154012342382,True,Unknown
cde15bc2e76fd29ecfbac202adf8eee6,-0.6918606076202698,0.0330016737279905,True,Unknown
27500e8b194f7f447ed3af5faf85ff88,-0.7373296354989081,0.0241533323402673,True,Unknown
f8ddb4c383d14855319f1f5446e4608d,-0.7841220206399369,0.00023829380168870808,True,Flavisolibacter
0aec1cb4ecf0f38d11e99d3a8793ecfc,-0.8007156112357321,1.4566009483686715e-06,True,Nitrospira
514b0abab472c138835de1a4389a8d2a,-0.8162253664501558,0.0063209323413161,True,MBNT15
23017172b8710891fa8945d2a328d019,-0.8613571114312073,0.0463522083278013,True,uncultured
856037c4a2b4430f938cbab2b50dd724,-0.8708975155434779,0.0343182835395941,True,uncultured
9f60f519dba65e77199af74f5812191b,-0.8717912780251278,0.0065293916778215,True,Unknown
1bb7f97aa9adc7adea78436328f8801b,-0.8733363936410417,7.281052843643983e-06,True,IMCC26256
d499874b74f3ac186a628c8175969775,-0.8754875055413978,5.539785379459937e-09,True,Unknown
b5cd6f0960113efed5519c0718aad716,-0.8758903269162079,0.0294389342748071,True,Gemmatimonas
a541ec6ba8faa02d471216f10be28797,-0.8964563560685876,0.0296191657148781,True,Unknown
25a86338672f493dc780fbee10e55a7f,-0.908753047951083,0.0390315316887662,True,KD4-96
