group	Q1_Fruit1_S5_L001	Q1_Fruit2_S6_L001	Q1_Fruit3_S7_L001	Q1_Leaf_S1_L001	Q1_Seed1_S8_L001	Q1_Seed2_S9_L001	Q1_Seed3_S10_L001	Q1-1-Swab1_S1_L001	Q1-1-Swab2_S2_L001	Q1-Arcillite1_S22_L001	Q1-Arcillite2_S23_L001	Q1-Arcillite3_S24_L001	Q1-Arcillite4_S25_L001	Q1-Foam1_S13_L001	Q1-Foam2_S14_L001	Q1-Foam3_S15_L001	Q1-Rhizosphere_S21_L001	Q1-Root2_S18_L001	Q1-Root3_S19_L001	Q1-Root4_S20_L001	Q1-RSJ-Root1_S17_L001	Q1-Stem_S16_L001	Q1-Wick1_S9_L001	Q1-Wick2_S10_L001	Q1-Wick3_S11_L001	Q1-Wick4_S12_L001	Q2_Fruit1_S11_L001	Q2_Leaf_S2_L001	Q2_Seed1_S12_L001	Q2-1-Swab3_S3_L001	Q2-1-Swab4_S4_L001	Q2-Arcillite1_S39_L001	Q2-Arcillite2_S40_L001	Q2-Arcillite3_S41_L001	Q2-Arcillite4_S42_L001	Q2-Foam1_S30_L001	Q2-Foam2_S31_L001	Q2-Foam3_S32_L001	Q2-Rhizosphere_S38_L001	Q2-Root2_S35_L001	Q2-Root3_S36_L001	Q2-Root4_S37_L001	Q2-RSJ-Root1_S34_L001	Q2-Stem_S33_L001	Q2-Water_S43_L001	Q2-Wick1_S26_L001	Q2-Wick2_S27_L001	Q2-Wick3_S28_L001	Q2-Wick4_S29_L001	Q3_Fruit1_S13_L001	Q3_Fruit2_S14_L001	Q3_Fruit3_S15_L001	Q3_Leaf_S3_L001	Q3_Seed1_S16_L001	Q3_Seed2_S17_L001	Q3_Seed3_S18_L001	Q3-1-Swab5_S5_L001	Q3-1-Swab6_S6_L001	Q3-Arcillite1_S14_L001	Q3-Arcillite2_S15_L001	Q3-Arcillite3_S16_L001	Q3-Arcillite4_S17_L001	Q3-Foam1_S5_L001	Q3-Foam2_S6_L001	Q3-Foam3_S7_L001	Q3-Rhizosphere_S13_L001	Q3-Root1_S9_L001	Q3-Root2_S10_L001	Q3-Root3_S11_L001	Q3-Root4_S12_L001	Q3-Stem_S8_L001	Q3-Water_S18_L001	Q3-Wick1_S1_L001	Q3-Wick2_S2_L001	Q3-Wick3_S3_L001	Q3-Wick4_S4_L001	Q4_Fruit1_S19_L001	Q4_Fruit2_S20_L001	Q4_Fruit3_S21_L001	Q4_Leaf_S4_L001	Q4_Seed1_S22_L001	Q4_Seed2_S23_L001	Q4_Seed3_S24_L001	Q4-1-Swab7_S7_L001	Q4-1-Swab8_S8_L001	Q4-Arcillite1_S32_L001	Q4-Arcillite2_S33_L001	Q4-Arcillite3_S34_L001	Q4-Arcillite4_S35_L001	Q4-Foam1_S23_L001	Q4-Foam2_S24_L001	Q4-Foam3_S25_L001	Q4-Rhizosphere_S31_L001	Q4-Root1_S27_L001	Q4-Root2_S28_L001	Q4-Root3_S29_L001	Q4-Root4_S30_L001	Q4-Stem_S26_L001	Q4-Water_S36_L001	Q4-Wick1_S19_L001	Q4-Wick2_S20_L001	Q4-Wick3_S21_L001	Q4-Wick4_S22_L001	SanSeed1_S25_L001	SanSeed2_S26_L001	SanSeed3_S27_L001	Terrestrial_SRR30151802	Terrestrial_SRR30151803	Terrestrial_SRR30151804	Terrestrial_SRR30151805	Terrestrial_SRR30151806	Terrestrial_SRR30151807	Terrestrial_SRR30151818	Terrestrial_SRR30151829	Terrestrial_SRR30151830	Terrestrial_SRR30151831	Terrestrial_SRR30151832	Terrestrial_SRR30151833	Terrestrial_SRR30151834	Terrestrial_SRR30151835	Terrestrial_SRR30151836	Terrestrial_SRR30151837	Terrestrial_SRR30151838	Terrestrial_SRR30151839	Terrestrial_SRR30151840	Terrestrial_SRR30151841
methanotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	4	7	8	0	0	4	0	0	12
acetoclastic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_disproportionation_of_methyl_groups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_using_formate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_CO2_reduction_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_reduction_of_methyl_compounds_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrogenotrophic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2
methanol_oxidation	0	0	0	9	0	0	0	72	51	0	0	0	0	772	51	198	13	8	0	0	0	9	467	1923	29	40	228	0	0	0	38	11	0	0	11	87	65	186	16	2	0	0	0	0	0	985	69	36	0	0	0	9	30	0	0	2	0	0	0	0	0	14	1084	973	791	11	8	0	0	0	0	0	0	0	90	63	0	0	15	15	0	0	0	52	2746	0	18	0	0	1123	328	666	0	22	9	34	21	88	0	4235	4791	132	150	0	0	0	0	15	9	47	18	26	49	20	6	79	40	0	24	15	9	8	20	0	24	9
methylotrophy	0	0	0	9	0	0	0	72	51	0	0	0	0	772	51	198	13	8	0	0	0	9	467	1923	29	40	228	0	0	0	38	11	0	0	11	87	65	186	16	2	0	0	0	0	0	985	69	36	0	0	0	9	30	0	0	2	0	0	0	0	0	14	1084	973	791	11	8	0	0	0	0	0	0	0	90	63	0	0	15	15	0	0	0	52	2746	0	18	0	0	1123	328	666	0	22	9	34	21	88	0	4235	4819	132	150	0	0	0	0	15	9	47	18	26	49	20	6	84	49	4	31	23	9	8	24	0	24	21
aerobic_ammonia_oxidation	0	0	0	0	0	0	0	0	0	0	0	25	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	80	80	10	0	0	24	0	0	0	4	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	83	43	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	18	0	0	4	0	19	5	0	0	0	112	0	0	0	0	0	0	0	292	1079	313	1544	785	666	1202	1051	321	1015	1549	914	1718	1328	1486	1172	1907	48	1909	1101
aerobic_nitrite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
nitrification	0	0	0	0	0	0	0	0	0	0	0	25	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	80	80	10	0	0	24	0	0	0	4	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	83	43	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	18	0	0	4	0	19	5	0	0	0	112	0	0	0	0	0	0	0	292	1079	313	1544	785	666	1202	1051	321	1015	1549	914	1718	1328	1486	1172	1907	54	1909	1101
sulfate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	10	9	0	9	3	0	11	23	14	27	55	0	8	20	0	28	42
sulfur_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
dark_sulfite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfite_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thiosulfate_respiration	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
respiration_of_sulfur_compounds	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	10	9	0	9	3	0	11	23	14	27	61	0	8	20	0	28	42
arsenate_detoxification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenate_reduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_detoxification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_energy_yielding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anammox	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_denitrification	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	228	0	0	0	44	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	9	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	15	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	15	6	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0
