group	Q1_Fruit1_S5_L001	Q1_Fruit2_S6_L001	Q1_Fruit3_S7_L001	Q1_Leaf_S1_L001	Q1_Seed1_S8_L001	Q1_Seed2_S9_L001	Q1_Seed3_S10_L001	Q1-1-Swab1_S1_L001	Q1-1-Swab2_S2_L001	Q1-Arcillite1_S22_L001	Q1-Arcillite2_S23_L001	Q1-Arcillite3_S24_L001	Q1-Arcillite4_S25_L001	Q1-Foam1_S13_L001	Q1-Foam2_S14_L001	Q1-Foam3_S15_L001	Q1-Rhizosphere_S21_L001	Q1-Root2_S18_L001	Q1-Root3_S19_L001	Q1-Root4_S20_L001	Q1-RSJ-Root1_S17_L001	Q1-Stem_S16_L001	Q1-Wick1_S9_L001	Q1-Wick2_S10_L001	Q1-Wick3_S11_L001	Q1-Wick4_S12_L001	Q2_Fruit1_S11_L001	Q2_Leaf_S2_L001	Q2_Seed1_S12_L001	Q2-1-Swab3_S3_L001	Q2-1-Swab4_S4_L001	Q2-Arcillite1_S39_L001	Q2-Arcillite2_S40_L001	Q2-Arcillite3_S41_L001	Q2-Arcillite4_S42_L001	Q2-Foam1_S30_L001	Q2-Foam2_S31_L001	Q2-Foam3_S32_L001	Q2-Rhizosphere_S38_L001	Q2-Root2_S35_L001	Q2-Root3_S36_L001	Q2-Root4_S37_L001	Q2-RSJ-Root1_S34_L001	Q2-Stem_S33_L001	Q2-Water_S43_L001	Q2-Wick1_S26_L001	Q2-Wick2_S27_L001	Q2-Wick3_S28_L001	Q2-Wick4_S29_L001	Q3_Fruit1_S13_L001	Q3_Fruit2_S14_L001	Q3_Fruit3_S15_L001	Q3_Leaf_S3_L001	Q3_Seed1_S16_L001	Q3_Seed2_S17_L001	Q3_Seed3_S18_L001	Q3-1-Swab5_S5_L001	Q3-1-Swab6_S6_L001	Q3-Arcillite1_S14_L001	Q3-Arcillite2_S15_L001	Q3-Arcillite3_S16_L001	Q3-Arcillite4_S17_L001	Q3-Foam1_S5_L001	Q3-Foam2_S6_L001	Q3-Foam3_S7_L001	Q3-Rhizosphere_S13_L001	Q3-Root1_S9_L001	Q3-Root2_S10_L001	Q3-Root3_S11_L001	Q3-Root4_S12_L001	Q3-Stem_S8_L001	Q3-Water_S18_L001	Q3-Wick1_S1_L001	Q3-Wick2_S2_L001	Q3-Wick3_S3_L001	Q3-Wick4_S4_L001	Q4_Fruit1_S19_L001	Q4_Fruit2_S20_L001	Q4_Fruit3_S21_L001	Q4_Leaf_S4_L001	Q4_Seed1_S22_L001	Q4_Seed2_S23_L001	Q4_Seed3_S24_L001	Q4-1-Swab7_S7_L001	Q4-1-Swab8_S8_L001	Q4-Arcillite1_S32_L001	Q4-Arcillite2_S33_L001	Q4-Arcillite3_S34_L001	Q4-Arcillite4_S35_L001	Q4-Foam1_S23_L001	Q4-Foam2_S24_L001	Q4-Foam3_S25_L001	Q4-Rhizosphere_S31_L001	Q4-Root1_S27_L001	Q4-Root2_S28_L001	Q4-Root3_S29_L001	Q4-Root4_S30_L001	Q4-Stem_S26_L001	Q4-Water_S36_L001	Q4-Wick1_S19_L001	Q4-Wick2_S20_L001	Q4-Wick3_S21_L001	Q4-Wick4_S22_L001	SanSeed1_S25_L001	SanSeed2_S26_L001	SanSeed3_S27_L001	Terrestrial_SRR30151802	Terrestrial_SRR30151803	Terrestrial_SRR30151804	Terrestrial_SRR30151805	Terrestrial_SRR30151806	Terrestrial_SRR30151807	Terrestrial_SRR30151818	Terrestrial_SRR30151829	Terrestrial_SRR30151830	Terrestrial_SRR30151831	Terrestrial_SRR30151832	Terrestrial_SRR30151833	Terrestrial_SRR30151834	Terrestrial_SRR30151835	Terrestrial_SRR30151836	Terrestrial_SRR30151837	Terrestrial_SRR30151838	Terrestrial_SRR30151839	Terrestrial_SRR30151840	Terrestrial_SRR30151841
animal_parasites_or_symbionts	0	0	0	0	2	91	24	72	0	124	197	331	137	1063	77	216	440	143	237	962	0	525	1947	771	0	16	35	0	0	0	8	136	166	278	234	28	34	132	706	706	183	109	616	78	38	25	0	65	13	5	0	5	0	2	0	7	40	0	158	188	280	181	111	134	321	893	290	719	458	354	0	0	87	0	0	499	57	0	34	0	15	0	0	2	1352	927	443	392	448	333	132	531	312	1270	337	563	678	601	22	1795	808	180	486	0	3	0	116	50	4	21	37	61	178	9	490	104	6	76	0	0	0	7	79	22	27	0
plant_pathogen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oil_bioremediation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aromatic_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
aromatic_compound_degradation	54	18	0	32	0	0	0	122	123	474	774	481	327	806	252	616	564	274	186	13248	102	88	1238	817	1349	2868	52	62	11	70	38	269	157	109	143	533	16617	72	308	50	26	23	411	44	6308	13929	291	20801	542	0	7	0	0	0	0	0	0	0	360	18	0	0	7739	2211	753	0	5	6	7	10	779	0	146	64	468	957	0	2	33	37	0	0	13	106	566	108	154	11	1239	1878	3088	509	3	5	0	29	145	49	4	279	55	542	296	0	9	3	291	316	319	387	215	121	373	163	127	341	221	125	506	87	196	628	235	134	228	367
aliphatic_non_methane_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	4	0	6	0	0	0	0	4	23	0	0
hydrocarbon_degradation	0	0	0	0	0	36	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	18	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	116	0	0	9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	28	0	0	0	0	3	0	0	0	0	0	7	0	0	0	9	9	10	7	8	0	0	10	23	0	12
dark_iron_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0
iron_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	4	7
nitrate_respiration	0	0	0	0	0	0	0	230	132	97	71	131	176	662	0	419	65	0	0	0	0	0	0	0	0	75	228	0	0	98	426	823	729	474	336	41	126	48	19	2	77	0	17	0	2294	22	0	72	30	0	0	9	0	2	0	0	40	26	318	191	106	170	188	2219	604	0	0	0	11	0	0	0	105	0	17	55	24	0	140	0	0	0	0	89	268	118	92	28	62	231	79	2872	0	0	0	0	44	0	167	0	26	731	311	15	6	0	105	59	0	15	3	210	274	16	235	97	55	80	13	4	10	14	69	0	49	14
nitrate_reduction	0	0	0	0	0	0	0	1589	236	1595	2581	4901	2229	3077	507	3437	3686	1269	948	2932	0	37	59	4165	231	1117	232	0	0	119	1257	5876	5928	4771	4944	245	439	1518	4894	6746	4914	2490	3517	24	33980	130	281	1099	165	0	0	9	31	2	0	0	62	169	3890	2658	4250	3215	609	5032	2609	3925	279	4930	2560	3526	0	16	402	154	501	609	39	0	140	0	0	0	0	363	5652	5025	5076	3129	2737	3554	787	9381	4136	8773	2916	5449	5891	357	14554	472	2644	2256	4280	15	6	0	113	59	0	55	3	226	292	16	475	145	55	80	46	4	10	14	97	0	80	84
nitrogen_respiration	0	0	0	0	0	0	0	230	132	97	71	131	176	662	0	419	65	0	0	0	0	0	0	0	0	75	228	0	0	98	426	823	729	474	336	41	126	48	19	2	77	0	17	0	2294	22	0	72	30	0	0	9	0	2	0	0	40	26	318	191	106	170	188	2219	604	0	0	0	11	0	0	0	105	0	17	55	24	0	140	0	0	0	0	89	268	118	92	28	62	231	79	2872	0	0	0	0	44	0	167	0	26	731	311	15	6	0	105	59	0	15	3	210	274	16	235	97	55	80	13	4	10	14	69	0	49	14
fumarate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
intracellular_parasites	0	0	0	0	0	0	0	66	0	97	358	649	182	411	31	874	244	36	151	198	0	1958	491	354	41	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	280	0	0	1188	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	0	0	23	22	10	114	127	112	84	98	88	96	124	130	120	95	101	96	89	13	127	132
chlorate_reducers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
predatory_or_exoparasitic	0	0	0	0	0	0	0	1282	104	1416	2333	4607	2007	2353	507	2996	3531	1235	857	2287	0	37	59	4165	231	1042	10	0	0	21	814	5060	5186	4226	4463	204	313	1470	4851	6722	4763	2417	3491	24	31686	94	244	1038	135	0	0	0	0	0	0	0	22	143	3572	2449	4025	2962	411	2780	2005	3612	225	4656	2466	3317	0	16	297	154	477	554	15	0	0	0	0	0	0	323	5384	4234	4735	2769	2428	3256	708	6464	3922	8770	2798	5216	5506	357	14378	472	2618	1525	3945	0	0	0	178	741	259	774	511	384	970	795	508	575	912	548	939	913	760	1131	620	194	1556	1095
chloroplasts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nonphotosynthetic_cyanobacteria	0	0	0	0	0	0	0	0	0	338	631	498	716	14	0	26	426	71	90	54	0	0	0	0	0	0	0	0	0	0	0	409	284	488	489	0	0	0	49	3	44	47	0	0	2580	0	0	17	0	0	0	0	0	0	0	0	0	0	265	545	242	393	18	55	0	72	0	74	70	49	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	657	213	369	710	6	11	415	47	0	21	121	138	0	3363	0	3	0	0	0	0	0	0	0	2	18	0	6	39	17	7	11	0	13	13	24	10	8	0	8	30	26
photosynthetic_cyanobacteria	0	0	0	0	0	0	43	90	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1639	0	0	30	0	0	0	0	0	730	0	66	0	0	0	0	0	7	0	0	11	0	0	54	0	25	0	0	0	167	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	47	0	0	0	0	0	0	3	0	0	0	0	4	6	0	0	20	0	7	11	3	0	3	7
anoxygenic_photoautotrophy_H2_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_S_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_Fe_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxygenic_photoautotrophy	0	0	0	0	0	0	43	90	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1639	0	0	30	0	0	0	0	0	730	0	66	0	0	0	0	0	7	0	0	11	0	0	54	0	25	0	0	0	167	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	47	0	0	0	0	0	0	3	0	0	0	0	4	6	0	0	20	0	7	11	3	0	3	7
photoautotrophy	0	0	0	0	0	0	43	90	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1639	0	0	30	0	0	0	0	0	730	0	66	0	0	0	0	0	7	0	0	11	0	0	54	0	25	0	0	0	167	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	47	0	0	0	0	0	0	3	0	0	0	0	4	6	0	0	20	0	7	11	3	0	3	7
aerobic_anoxygenic_phototrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photoheterotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	9	15	0	14	22	20	19	19	9	30	0	0	19
phototrophy	0	0	0	0	0	0	43	90	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	3	1639	0	0	30	0	0	0	0	0	730	0	66	0	0	0	0	0	7	0	29	11	3	0	54	0	25	0	0	0	167	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	26	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	47	0	0	0	10	0	0	3	0	0	10	9	19	6	14	22	40	19	26	20	33	0	3	26
plastic_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ureolysis	0	0	11	9	0	0	46	122	51	4531	7100	12986	6400	11216	642	10708	12856	3889	5968	6255	70	1257	3291	4989	147	955	6	0	0	0	29	6141	4379	8727	9236	803	279	4453	6388	2861	14756	3967	5274	324	188	1132	97	633	148	0	0	0	30	0	0	2	6	0	12599	13276	23634	17830	1994	4761	10002	26220	1883	18158	14037	18137	100	98	159	182	346	1315	0	0	472	15	0	0	0	54	4779	12929	3838	6803	12061	6157	2888	6368	5078	2365	4033	5502	12541	1560	2830	10136	6923	959	974	0	0	0	116	47	81	126	81	61	150	59	106	265	81	155	87	72	53	110	115	43	50	68
reductive_acetogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chemoheterotrophy	197	18	178	192	81	1929	2723	29885	68380	27284	69438	62345	61237	69185	44982	74008	88344	34728	43591	83524	20807	31421	69407	127788	86559	78839	520	8604	168	47311	45786	73689	67242	66627	71571	4099	22780	38217	57781	24851	75538	24114	50944	8174	49382	105466	51844	63902	105446	179	242	215	1428	48	66	86	60212	56594	81159	76945	90261	86547	23203	54094	60710	79673	21379	77384	61286	84659	10724	410	40175	92192	83735	46518	1940	177	2905	750	186	73	5099	60922	73179	103311	50357	49517	66834	79499	54149	76018	63205	102861	71695	77642	84701	74571	31920	71196	109745	76428	131892	160	61	84	4213	4403	4708	6372	4923	3608	8363	4788	6229	8234	5711	5804	5904	4591	4437	7362	6051	2315	7374	6269
