,nitrogen_fixation,nitrification,denitrification,nitrate_reduction,ureolysis,Completeness,Study_Group
Q1_Fruit1_S5_L001,0,0,1,1,0,0.4,Space_Flight
Q1_Fruit2_S6_L001,0,0,0,0,0,0.0,Space_Flight
Q1_Fruit3_S7_L001,1,0,1,1,1,0.8,Space_Flight
Q1_Leaf_S1_L001,0,0,1,1,1,0.6,Space_Flight
Q1_Seed1_S8_L001,0,0,1,1,0,0.4,Space_Flight
Q1_Seed2_S9_L001,0,0,1,1,0,0.4,Space_Flight
Q1_Seed3_S10_L001,1,0,1,1,1,0.8,Space_Flight
Q1-1-Swab1_S1_L001,1,0,1,1,1,0.8,Space_Flight
Q1-1-Swab2_S2_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Arcillite1_S22_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Arcillite2_S23_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Arcillite3_S24_L001,1,1,1,1,1,1.0,Space_Flight
Q1-Arcillite4_S25_L001,1,1,1,1,1,1.0,Space_Flight
Q1-Foam1_S13_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Foam2_S14_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Foam3_S15_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Rhizosphere_S21_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Root2_S18_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Root3_S19_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Root4_S20_L001,1,0,1,1,1,0.8,Space_Flight
Q1-RSJ-Root1_S17_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Stem_S16_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Wick1_S9_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Wick2_S10_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Wick3_S11_L001,1,0,1,1,1,0.8,Space_Flight
Q1-Wick4_S12_L001,1,0,1,1,1,0.8,Space_Flight
Q2_Fruit1_S11_L001,1,0,1,1,1,0.8,Space_Flight
Q2_Leaf_S2_L001,1,0,1,1,0,0.6,Space_Flight
Q2_Seed1_S12_L001,0,0,1,1,0,0.4,Space_Flight
Q2-1-Swab3_S3_L001,1,0,1,1,1,0.8,Space_Flight
Q2-1-Swab4_S4_L001,1,0,1,1,1,0.8,Space_Flight
Q2-Arcillite1_S39_L001,1,1,1,1,1,1.0,Space_Flight
Q2-Arcillite2_S40_L001,1,1,1,1,1,1.0,Space_Flight
Q2-Arcillite3_S41_L001,1,1,1,1,1,1.0,Space_Flight
Q2-Arcillite4_S42_L001,1,1,1,1,1,1.0,Space_Flight
Q2-Foam1_S30_L001,1,0,1,1,1,0.8,Space_Flight
Q2-Foam2_S31_L001,1,0,1,1,1,0.8,Space_Flight
Q2-Foam3_S32_L001,1,1,1,1,1,1.0,Space_Flight
Q2-Rhizosphere_S38_L001,1,0,1,1,1,0.8,Space_Flight
Q2-Root2_S35_L001,1,0,1,1,1,0.8,Space_Flight
Q2-Root3_S36_L001,1,0,1,1,1,0.8,Space_Flight
Q2-Root4_S37_L001,1,1,1,1,1,1.0,Space_Flight
Q2-RSJ-Root1_S34_L001,1,0,1,1,1,0.8,Space_Flight
Q2-Stem_S33_L001,1,0,1,1,1,0.8,Space_Flight
Q2-Water_S43_L001,1,1,1,1,1,1.0,Space_Flight
Q2-Wick1_S26_L001,1,0,1,1,1,0.8,Space_Flight
Q2-Wick2_S27_L001,1,0,1,1,1,0.8,Space_Flight
Q2-Wick3_S28_L001,1,0,1,1,1,0.8,Space_Flight
Q2-Wick4_S29_L001,1,0,1,1,1,0.8,Space_Flight
Q3_Fruit1_S13_L001,0,0,1,1,0,0.4,Space_Flight
Q3_Fruit2_S14_L001,0,0,1,1,0,0.4,Space_Flight
Q3_Fruit3_S15_L001,0,0,1,1,0,0.4,Space_Flight
Q3_Leaf_S3_L001,0,0,1,1,1,0.6,Space_Flight
Q3_Seed1_S16_L001,0,0,0,1,0,0.2,Space_Flight
Q3_Seed2_S17_L001,0,0,0,1,1,0.4,Space_Flight
Q3_Seed3_S18_L001,0,0,0,1,1,0.4,Space_Flight
Q3-1-Swab5_S5_L001,1,0,1,1,1,0.8,Space_Flight
Q3-1-Swab6_S6_L001,0,0,1,1,1,0.6,Space_Flight
Q3-Arcillite1_S14_L001,1,1,1,1,1,1.0,Space_Flight
Q3-Arcillite2_S15_L001,1,1,1,1,1,1.0,Space_Flight
Q3-Arcillite3_S16_L001,1,1,1,1,1,1.0,Space_Flight
Q3-Arcillite4_S17_L001,1,1,0,1,1,0.8,Space_Flight
Q3-Foam1_S5_L001,1,0,1,1,1,0.8,Space_Flight
Q3-Foam2_S6_L001,1,0,1,1,1,0.8,Space_Flight
Q3-Foam3_S7_L001,1,0,1,1,1,0.8,Space_Flight
Q3-Rhizosphere_S13_L001,1,0,0,1,1,0.6,Space_Flight
Q3-Root1_S9_L001,1,0,1,1,1,0.8,Space_Flight
Q3-Root2_S10_L001,1,0,1,1,1,0.8,Space_Flight
Q3-Root3_S11_L001,1,0,1,1,1,0.8,Space_Flight
Q3-Root4_S12_L001,1,0,1,1,1,0.8,Space_Flight
Q3-Stem_S8_L001,1,0,1,1,1,0.8,Space_Flight
Q3-Water_S18_L001,1,0,0,1,1,0.6,Space_Flight
Q3-Wick1_S1_L001,1,0,1,1,1,0.8,Space_Flight
Q3-Wick2_S2_L001,1,0,1,1,1,0.8,Space_Flight
Q3-Wick3_S3_L001,1,0,1,1,1,0.8,Space_Flight
Q3-Wick4_S4_L001,1,0,1,1,1,0.8,Space_Flight
Q4_Fruit1_S19_L001,0,0,1,1,0,0.4,Space_Flight
Q4_Fruit2_S20_L001,0,0,1,1,0,0.4,Space_Flight
Q4_Fruit3_S21_L001,1,0,1,1,1,0.8,Space_Flight
Q4_Leaf_S4_L001,0,0,0,1,1,0.4,Space_Flight
Q4_Seed1_S22_L001,1,0,1,1,1,0.8,Space_Flight
Q4_Seed2_S23_L001,0,0,0,1,0,0.2,Space_Flight
Q4_Seed3_S24_L001,0,0,1,1,1,0.6,Space_Flight
Q4-1-Swab7_S7_L001,1,0,1,1,1,0.8,Space_Flight
Q4-1-Swab8_S8_L001,1,0,1,1,1,0.8,Space_Flight
Q4-Arcillite1_S32_L001,1,1,1,1,1,1.0,Space_Flight
Q4-Arcillite2_S33_L001,1,0,0,1,1,0.6,Space_Flight
Q4-Arcillite3_S34_L001,1,0,1,1,1,0.8,Space_Flight
Q4-Arcillite4_S35_L001,1,1,0,1,1,0.8,Space_Flight
Q4-Foam1_S23_L001,1,0,1,1,1,0.8,Space_Flight
Q4-Foam2_S24_L001,1,0,1,1,1,0.8,Space_Flight
Q4-Foam3_S25_L001,1,1,0,1,1,0.8,Space_Flight
Q4-Rhizosphere_S31_L001,1,0,0,1,1,0.6,Space_Flight
Q4-Root1_S27_L001,1,1,0,1,1,0.8,Space_Flight
Q4-Root2_S28_L001,1,0,0,1,1,0.6,Space_Flight
Q4-Root3_S29_L001,1,0,0,1,1,0.6,Space_Flight
Q4-Root4_S30_L001,1,0,0,1,1,0.6,Space_Flight
Q4-Stem_S26_L001,1,0,0,1,1,0.6,Space_Flight
Q4-Water_S36_L001,1,1,0,1,1,0.8,Space_Flight
Q4-Wick1_S19_L001,1,0,1,1,1,0.8,Space_Flight
Q4-Wick2_S20_L001,1,0,1,1,1,0.8,Space_Flight
Q4-Wick3_S21_L001,1,0,1,1,1,0.8,Space_Flight
Q4-Wick4_S22_L001,1,0,1,1,1,0.8,Space_Flight
SanSeed1_S25_L001,0,0,1,1,1,0.6,Space_Flight
SanSeed2_S26_L001,0,0,1,1,1,0.6,Space_Flight
SanSeed3_S27_L001,0,0,1,1,1,0.6,Space_Flight
Terrestrial_SRR30151802,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151803,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151804,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151805,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151806,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151807,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151818,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151829,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151830,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151831,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151832,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151833,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151834,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151835,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151836,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151837,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151838,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151839,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151840,1,1,1,1,1,1.0,Terrestrial_Soil
Terrestrial_SRR30151841,1,1,1,1,1,1.0,Terrestrial_Soil
