"s.1","s.2","index","stat","p.value","Genus","Group","Space_Mean_RA","Terr_Mean_RA"
0,1,2,0.467341059891521,0.002,"[Eubacterium]_coprostanoligenes_group","Terrestrial_Soil",0.00027488660025291,0.00190037688708388
0,1,2,0.801682871939666,0.001,"0319-6G20","Terrestrial_Soil",0.0229107178057957,0.0479153740888388
0,1,2,0.945450366475005,0.001,"11-24","Terrestrial_Soil",0.00202956451009825,0.296260119198294
0,1,2,0.836660026534076,0.001,"27F-1492R","Terrestrial_Soil",0,0.0112447948743574
1,0,1,0.795031742572656,0.002,"28-YEA-48","Space_Flight",0.118329142957293,0
0,1,2,0.703514131841494,0.001,"37-13","Terrestrial_Soil",4.90871556192423e-05,0.00479389337308307
0,1,2,0.974679434480896,0.001,"4-29-1","Terrestrial_Soil",0,0.082030974674759
0,1,2,0.99731212008685,0.001,"67-14","Terrestrial_Soil",0.00487256284489904,0.902742406385871
0,1,2,0.866025403784439,0.001,"A0839","Terrestrial_Soil",0,0.0134745878259139
0,1,2,1,0.001,"A21b","Terrestrial_Soil",0,0.374262831398251
0,1,2,0.894427190999916,0.001,"A4b","Terrestrial_Soil",0,0.0289116787614252
0,1,2,0.974679434480896,0.001,"Abditibacterium","Terrestrial_Soil",0,0.0392972348811854
0,1,2,0.713599357251606,0.001,"Achromobacter","Terrestrial_Soil",0.011094758353926,0.0622380404195294
0,1,2,0.781232243546271,0.003,"Acidibacter","Terrestrial_Soil",0.346837970583967,0.543229184973242
0,1,2,1,0.001,"Acidothermus","Terrestrial_Soil",0,0.539154935379903
1,0,1,0.826081568220819,0.004,"Acinetobacter","Space_Flight",1.92778116325892,0.0177082099323995
0,1,2,0.974679434480896,0.001,"Actinoallomurus","Terrestrial_Soil",0,0.113595984127422
0,1,2,1,0.001,"AD3","Terrestrial_Soil",0,0.142414009075216
0,1,2,1,0.001,"ADurb.Bin063-1","Terrestrial_Soil",0,0.273452903061631
0,1,2,0.783479146538876,0.001,"Aeromicrobium","Terrestrial_Soil",0.0050143596682897,0.0357242008578725
0,1,2,0.894427190999916,0.001,"Agromyces","Terrestrial_Soil",0,0.0461812198640878
0,1,2,0.806225774829855,0.001,"Ahniella","Terrestrial_Soil",0,0.0404459729572515
0,1,2,0.948683298050514,0.001,"AKIW659","Terrestrial_Soil",0,0.0364174924507136
0,1,2,0.59053783033271,0.001,"AKIW781","Terrestrial_Soil",2.03398152595599e-05,0.00560696145485652
0,1,2,0.670820393249937,0.001,"Akkermansia","Terrestrial_Soil",0,0.00474300860040957
0,1,2,0.894427190999916,0.001,"AKYG1722","Terrestrial_Soil",0,0.0350754707675537
0,1,2,0.866025403784439,0.001,"AKYH767","Terrestrial_Soil",0,0.0328657946602446
0,1,2,0.529099023739593,0.033,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Terrestrial_Soil",0.163881650182313,0.0882176777876373
0,1,2,0.741619848709566,0.001,"Aminicenantales","Terrestrial_Soil",0,0.015909462103817
0,1,2,0.806225774829855,0.001,"Ammoniphilus","Terrestrial_Soil",0,0.101745494288849
0,1,2,0.999805813220566,0.001,"Amycolatopsis","Terrestrial_Soil",3.22423905540113e-05,0.0829948346201605
0,1,2,0.921954445729289,0.001,"Anaerolinea","Terrestrial_Soil",0,0.0262019285617427
0,1,2,0.836660026534076,0.001,"Anaerolineae","Terrestrial_Soil",0,0.0364152933923405
0,1,2,0.974679434480896,0.001,"Anaeromyxobacter","Terrestrial_Soil",0,0.268011936924194
1,0,1,0.672926584910453,0.004,"Aquabacterium","Space_Flight",0.10325699738101,0
0,1,2,1,0.001,"Aquicella","Terrestrial_Soil",0,0.203313885867825
0,1,2,0.632455532033676,0.001,"Arachidicoccus","Terrestrial_Soil",0,0.00510668502425724
0,1,2,0.836660026534076,0.001,"Arenimonas","Terrestrial_Soil",0,0.041686131627885
0,1,2,0.806225774829855,0.001,"Armatimonadales","Terrestrial_Soil",0,0.0100203542728058
1,0,1,0.582771517414359,0.018,"Asinibacterium","Space_Flight",0.0398267748359777,0
0,1,2,0.632455532033676,0.001,"AT-s3-28","Terrestrial_Soil",0,0.00658448191912145
0,1,2,0.974679434480896,0.001,"B10-SB3A","Terrestrial_Soil",0,0.0179211418636861
0,1,2,0.897730086159622,0.001,"Bacillus","Terrestrial_Soil",0.437310525865715,1.81593022904551
0,1,2,0.974454153792796,0.001,"bacteriap25","Terrestrial_Soil",0.000100651074053902,0.217658517383525
0,1,2,0.806225774829855,0.001,"Bathyarchaeia","Terrestrial_Soil",0,0.00884133729911746
0,1,2,0.729474076707694,0.001,"BD1-7_clade","Terrestrial_Soil",0.000324913172369904,0.00967657167905564
0,1,2,0.894427190999916,0.001,"BD2-11_terrestrial_group","Terrestrial_Soil",0,0.0394130051656726
0,1,2,0.974679434480896,0.001,"BD7-11","Terrestrial_Soil",0,0.058460398522485
0,1,2,0.858353148037098,0.001,"Bdellovibrio","Terrestrial_Soil",0.0114966765069308,0.0397243016556036
0,1,2,0.670820393249937,0.001,"Berkelbacteria","Terrestrial_Soil",0,0.00628119596845803
0,1,2,0.761624618866976,0.001,"Bifidobacterium","Terrestrial_Soil",0.000312350790071113,0.00909205702363444
0,1,2,0.974679434480896,0.001,"BIrii41","Terrestrial_Soil",0,0.169982650310384
0,1,2,0.836660026534076,0.001,"Blfdi19","Terrestrial_Soil",0,0.0262345354093211
0,1,2,0.774596669241483,0.001,"Bordetella","Terrestrial_Soil",0,0.0798254597511031
1,0,1,0.813113285171307,0.003,"Bosea","Space_Flight",0.34502437735077,0.00944138897154982
1,0,1,0.874157276121538,0.001,"Bradyrhizobium","Space_Flight",2.25216024057832,0
0,1,2,0.969443095444216,0.001,"Bryobacter","Terrestrial_Soil",0.031786341927549,0.496400716770728
0,1,2,0.921954445729289,0.001,"BSV26","Terrestrial_Soil",0,0.0372446244658434
1,0,1,0.860567928605016,0.012,"Burkholderia-Caballeronia-Paraburkholderia","Space_Flight",3.32779831446932,0.190712666586754
0,1,2,0.972369366887532,0.001,"C0119","Terrestrial_Soil",0.000757409437813569,0.159217838923449
0,1,2,0.921954445729289,0.001,"Candidatus_Adlerbacteria","Terrestrial_Soil",0,0.0185283422066988
0,1,2,0.591607978309962,0.001,"Candidatus_Alysiosphaera","Terrestrial_Soil",0,0.00368578929127383
1,0,1,0.852299885216244,0.001,"Candidatus_Babela","Space_Flight",0.793655730722592,0
0,1,2,0.741619848709566,0.001,"Candidatus_Berkiella","Terrestrial_Soil",0,0.00907456240831785
0,1,2,0.707106781186548,0.001,"Candidatus_Jorgensenbacteria","Terrestrial_Soil",0,0.00769678328511921
0,1,2,0.948683298050514,0.001,"Candidatus_Kaiserbacteria","Terrestrial_Soil",0,0.043378161430638
0,1,2,1,0.001,"Candidatus_Koribacter","Terrestrial_Soil",0,0.370160008124557
0,1,2,0.894427190999916,0.001,"Candidatus_Magasanikbacteria","Terrestrial_Soil",0,0.0356376993196221
0,1,2,0.707106781186548,0.001,"Candidatus_Nomurabacteria","Terrestrial_Soil",0,0.00489777636139654
0,1,2,0.894427190999916,0.001,"Candidatus_Ovatusbacter","Terrestrial_Soil",0,0.0315258524771622
0,1,2,1,0.001,"Candidatus_Solibacter","Terrestrial_Soil",0,0.887729041821226
0,1,2,1,0.001,"Candidatus_Udaeobacter","Terrestrial_Soil",0,0.899431135594313
0,1,2,0.741619848709566,0.001,"Candidatus_Yanofskybacteria","Terrestrial_Soil",0,0.00440801885658923
1,0,1,0.764791252811745,0.001,"Caulobacter","Space_Flight",0.0648160436409102,0
0,1,2,0.921954445729289,0.001,"CCD24","Terrestrial_Soil",0,0.0444771580549795
1,0,1,0.789076364767037,0.002,"Cellulomonas","Space_Flight",0.690047374976508,0
0,1,2,0.774596669241483,0.001,"Chitinophaga","Terrestrial_Soil",0,0.0188424888456379
0,1,2,0.621802260892351,0.001,"Chryseobacterium","Terrestrial_Soil",0.000576984111797554,0.0166954703752397
0,1,2,0.632455532033676,0.001,"Chryseolinea","Terrestrial_Soil",0,0.0127553908026916
0,1,2,0.723411790097606,0.001,"Chthoniobacter","Terrestrial_Soil",0.00269223485200135,0.018375034330968
0,1,2,0.894427190999916,0.001,"Chthonomonadales","Terrestrial_Soil",0,0.0420176140417408
0,1,2,0.836660026534076,0.001,"Chthonomonas","Terrestrial_Soil",0,0.0187165620081631
0,1,2,1,0.001,"Chujaibacter","Terrestrial_Soil",0,9.12702655755147
0,1,2,0.836660026534076,0.001,"CL500-29_marine_group","Terrestrial_Soil",0,0.0184816353408449
0,1,2,0.94712367660061,0.001,"Clostridium_sensu_stricto_1","Terrestrial_Soil",0.000141648958186077,0.0429747595375952
0,1,2,0.948683298050514,0.001,"Clostridium_sensu_stricto_10","Terrestrial_Soil",0,0.0717714343777268
1,0,1,0.730821059968768,0.007,"Cohnella","Space_Flight",0.218198086857462,0.00148560635214183
0,1,2,0.974679434480896,0.001,"Conexibacter","Terrestrial_Soil",0,0.280086065763382
1,0,1,0.85744186956904,0.001,"Corynebacterium","Space_Flight",0.810604662571643,0.000708387305699482
0,1,2,0.948683298050514,0.001,"CPla-3_termite_group","Terrestrial_Soil",0,0.0205244771152865
0,1,2,0.591607978309962,0.001,"Crossiella","Terrestrial_Soil",0,0.00993724012150613
1,0,1,0.849685722000745,0.001,"Cupriavidus","Space_Flight",1.34152617996365,0.0257972280842492
0,1,2,0.973850392022984,0.001,"cvE6","Terrestrial_Soil",9.6727171662034e-05,0.0567870286600116
0,1,2,1,0.001,"Dactylosporangium","Terrestrial_Soil",0,0.117724231133686
0,1,2,0.774596669241483,0.001,"Dadabacteriales","Terrestrial_Soil",0,0.0123731542462421
0,1,2,0.892043663829255,0.001,"Defluviicoccus","Terrestrial_Soil",0.000511510695688647,0.0955896568313706
0,1,2,0.591607978309962,0.001,"Desulfatiglans","Terrestrial_Soil",0,0.00235481091198567
0,1,2,0.894427190999916,0.001,"Desulfobacca","Terrestrial_Soil",0,0.0328984817078189
0,1,2,0.670820393249937,0.001,"Dinghuibacter","Terrestrial_Soil",0,0.00499503314490427
0,1,2,0.974679434480896,0.001,"Dokdonella","Terrestrial_Soil",0,0.137225525391321
0,1,2,0.921954445729289,0.001,"Domibacillus","Terrestrial_Soil",0,0.0618920392189226
0,1,2,1,0.001,"Dongia","Terrestrial_Soil",0,0.384571073242004
0,1,2,0.894427190999916,0.001,"DS-100","Terrestrial_Soil",0,0.0369220482908622
0,1,2,0.407007735198941,0.021,"Dyadobacter","Terrestrial_Soil",0.00733401907958989,0.00518432500145443
0,1,2,0.461325800036789,0.016,"Dyella","Terrestrial_Soil",0.0457250343279092,0.0338857884486639
0,1,2,0.856584018990572,0.001,"Edaphobacter","Terrestrial_Soil",0.000745521336633823,0.0336339207095821
0,1,2,0.774596669241483,0.001,"Edaphobaculum","Terrestrial_Soil",0,0.0159821721323859
0,1,2,0.974679434480896,0.001,"Ellin516","Terrestrial_Soil",0,0.0901922122547408
0,1,2,0.836660026534076,0.001,"Ellin517","Terrestrial_Soil",0,0.0623513590113947
0,1,2,1,0.001,"Ellin6067","Terrestrial_Soil",0,1.18772555364802
1,0,1,0.777106469493629,0.01,"env.OPS_17","Space_Flight",0.886352326496537,0.0136690640343924
0,1,2,0.632455532033676,0.001,"Eoetvoesia","Terrestrial_Soil",0,0.0251152348424323
0,1,2,0.946232721485047,0.001,"Faecalibacterium","Terrestrial_Soil",0.000105396693993155,0.0203219168240798
0,1,2,0.806225774829855,0.001,"FCPU426","Terrestrial_Soil",0,0.0112885969117643
0,1,2,0.948683298050514,0.001,"Fimbriimonadaceae","Terrestrial_Soil",0,0.0441921709795817
0,1,2,0.974679434480896,0.001,"Flavisolibacter","Terrestrial_Soil",0,0.0854775252405175
0,1,2,0.632455532033676,0.001,"Flavitalea","Terrestrial_Soil",0,0.020132150234694
0,1,2,0.842078026309304,0.001,"Flavobacterium","Terrestrial_Soil",0.00806104103813741,0.0628796264337953
0,1,2,0.894365689384998,0.001,"Gaiella","Terrestrial_Soil",1.64150746415331e-05,0.119351132554489
0,1,2,0.940543858128151,0.001,"Gemmata","Terrestrial_Soil",0.00978661981431748,0.132423226734634
0,1,2,0.995828702685407,0.001,"Gemmatimonas","Terrestrial_Soil",0.0216307145005626,2.57659247905345
0,1,2,0.974679434480896,0.001,"Gitt-GS-136","Terrestrial_Soil",0,0.297678399345356
0,1,2,0.974679434480896,0.001,"Granulicella","Terrestrial_Soil",0,0.108507507915958
0,1,2,0.670820393249937,0.001,"Group_1.1c","Terrestrial_Soil",0,0.0035045711051091
0,1,2,1,0.001,"Haliangium","Terrestrial_Soil",0,1.34656951237926
1,0,1,0.598740817080092,0.017,"Heliimonas","Space_Flight",0.0159026420576698,0
0,1,2,0.670820393249937,0.001,"Herpetosiphon","Terrestrial_Soil",0,0.0034967822994812
0,1,2,0.806225774829855,0.001,"Holophaga","Terrestrial_Soil",0,0.0130677542861905
0,1,2,1,0.001,"HSB_OF53-F07","Terrestrial_Soil",0,0.126677580097636
0,1,2,0.894427190999916,0.001,"Hydrogenispora","Terrestrial_Soil",0,0.0145729425055619
0,1,2,0.971648890705952,0.001,"Iamia","Terrestrial_Soil",0.000693367798335363,0.110980255893346
0,1,2,0.774596669241483,0.001,"Ilumatobacter","Terrestrial_Soil",0,0.0179726255010694
0,1,2,1,0.001,"IMCC26256","Terrestrial_Soil",0,0.376460017976149
0,1,2,0.774596669241483,0.001,"Inquilinus","Terrestrial_Soil",0,0.0285203943017896
0,1,2,0.921954445729289,0.001,"IS-44","Terrestrial_Soil",0,0.0725566454535299
0,1,2,1,0.001,"JG30-KF-AS9","Terrestrial_Soil",0,2.51692799541992
0,1,2,0.99935968985868,0.001,"JG30-KF-CM45","Terrestrial_Soil",0.000138390079015375,0.10796109996259
0,1,2,1,0.001,"JG30-KF-CM66","Terrestrial_Soil",0,0.119300634745152
0,1,2,0.591607978309962,0.001,"JG30a-KF-32","Terrestrial_Soil",0,0.0109873829954399
0,1,2,0.921954445729289,0.001,"Kapabacteriales","Terrestrial_Soil",0,0.0345280824873624
0,1,2,0.632455532033676,0.001,"KD3-10","Terrestrial_Soil",0,0.00910751260055519
0,1,2,0.999847409929857,0.001,"KD4-96","Terrestrial_Soil",0.000323571639223169,1.06002173036202
